date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:55	15600/15600	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jun%202019%2011:57:12%20GMT	http://emeraldgroupjpr.co.in/PrintAdmitCard.aspx	D:/download/theme2/emeraldgroupjpr.co.in/PrintAdmitCard.html	(from http://emeraldgroupjpr.co.in/)
17:26:57	24529/24529	---M--	200	added ('OK')	image/png	etag:%2271abc05bf3d7d31:0%22	http://emeraldgroupjpr.co.in/img/iso1.png	D:/download/theme2/emeraldgroupjpr.co.in/img/iso1.png	(from http://emeraldgroupjpr.co.in/)
17:26:58	11981/11981	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jun%202019%2011:57:14%20GMT	http://emeraldgroupjpr.co.in/result.aspx	D:/download/theme2/emeraldgroupjpr.co.in/result.html	(from http://emeraldgroupjpr.co.in/)
17:26:58	19125/19125	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jun%202019%2011:57:15%20GMT	http://emeraldgroupjpr.co.in/Placements.aspx	D:/download/theme2/emeraldgroupjpr.co.in/Placements.html	(from http://emeraldgroupjpr.co.in/)
17:27:16	133248/133248	---M--	200	added ('OK')	image/jpeg	etag:%22f959b080f3d7d31:0%22	http://emeraldgroupjpr.co.in/img/sdd.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/sdd.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:21	128933/128933	---M--	200	added ('OK')	image/jpeg	etag:%225c732749f3d7d31:0%22	http://emeraldgroupjpr.co.in/img/003.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/003.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:27	62927/62927	---M--	200	added ('OK')	image/gif	etag:%22ac166186f3d7d31:0%22	http://emeraldgroupjpr.co.in/img/source.gif	D:/download/theme2/emeraldgroupjpr.co.in/img/source.gif	(from http://emeraldgroupjpr.co.in/)
17:27:31	200817/200817	---M--	200	added ('OK')	image/jpeg	etag:%2271afdc51f3d7d31:0%22	http://emeraldgroupjpr.co.in/img/05.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/05.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:32	59338/59338	---M--	200	added ('OK')	image/jpeg	etag:%227c9014a9f3d7d31:0%22	http://emeraldgroupjpr.co.in/img/works/item01.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/works/item01.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:34	203253/203253	---M--	200	added ('OK')	image/jpeg	etag:%22aaf14a4cf3d7d31:0%22	http://emeraldgroupjpr.co.in/img/04.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/04.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:38	67719/67719	---M--	200	added ('OK')	image/jpeg	etag:%22b89ae1a9f3d7d31:0%22	http://emeraldgroupjpr.co.in/img/works/item02.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/works/item02.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:40	60132/60132	---M--	200	added ('OK')	image/jpeg	etag:%22c3ff7a9f3d7d31:0%22	http://emeraldgroupjpr.co.in/img/works/item03.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/works/item03.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:41	53761/53761	---M--	200	added ('OK')	image/jpeg	etag:%224da68faaf3d7d31:0%22	http://emeraldgroupjpr.co.in/img/works/item04.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/works/item04.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:43	61681/61681	---M--	200	added ('OK')	image/jpeg	etag:%22f5dfc8aaf3d7d31:0%22	http://emeraldgroupjpr.co.in/img/works/item05.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/works/item05.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:45	52384/52384	---M--	200	added ('OK')	image/jpeg	etag:%22c616dabf3d7d31:0%22	http://emeraldgroupjpr.co.in/img/works/item06.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/works/item06.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:47	38898/38898	---M--	200	added ('OK')	image/jpeg	etag:%2281769fabf3d7d31:0%22	http://emeraldgroupjpr.co.in/img/works/item07.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/works/item07.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:52	52058/52058	---M--	200	added ('OK')	image/jpeg	etag:%22c3cb7aacf3d7d31:0%22	http://emeraldgroupjpr.co.in/img/works/item08.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/works/item08.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:52	52002/52002	---M--	200	added ('OK')	image/jpeg	etag:%22f81889acf3d7d31:0%22	http://emeraldgroupjpr.co.in/img/works/item09.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/works/item09.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:56	53462/53462	---M--	200	added ('OK')	image/jpeg	etag:%2299b2dadf3d7d31:0%22	http://emeraldgroupjpr.co.in/img/works/item10.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/works/item10.jpg	(from http://emeraldgroupjpr.co.in/)
17:27:56	2546/2546	---M-Z	200	added ('OK')	application/javascript	etag:%22a87f1a52818d41:0%22	http://emeraldgroupjpr.co.in/js/jquery.singlePageNav.min.js	D:/download/theme2/emeraldgroupjpr.co.in/js/jquery.singlePageNav.min.js	(from http://emeraldgroupjpr.co.in/)
17:27:59	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:%229987769e2818d41:0%22	http://emeraldgroupjpr.co.in/js/jquery-1.11.1.min.js	D:/download/theme2/emeraldgroupjpr.co.in/js/jquery-1.11.1.min.js	(from http://emeraldgroupjpr.co.in/)
17:27:59	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%22405526695318d41:0%22	http://emeraldgroupjpr.co.in/js/bootstrap.min.js	D:/download/theme2/emeraldgroupjpr.co.in/js/bootstrap.min.js	(from http://emeraldgroupjpr.co.in/)
17:28:00	23135/23135	---M-Z	200	added ('OK')	application/javascript	etag:%2229234aa52818d41:0%22	http://emeraldgroupjpr.co.in/js/jquery.fancybox.pack.js	D:/download/theme2/emeraldgroupjpr.co.in/js/jquery.fancybox.pack.js	(from http://emeraldgroupjpr.co.in/)
17:28:02	1770/1770	---M-Z	200	added ('OK')	application/javascript	etag:%22ef1be5a52818d41:0%22	http://emeraldgroupjpr.co.in/js/jquery.parallax-1.1.3.js	D:/download/theme2/emeraldgroupjpr.co.in/js/jquery.parallax-1.1.3.js	(from http://emeraldgroupjpr.co.in/)
17:28:02	28344/28344	---M-Z	200	added ('OK')	application/javascript	etag:%2229234aa52818d41:0%22	http://emeraldgroupjpr.co.in/js/jquery.mixitup.min.js	D:/download/theme2/emeraldgroupjpr.co.in/js/jquery.mixitup.min.js	(from http://emeraldgroupjpr.co.in/)
17:28:03	2601/2601	---M-Z	200	added ('OK')	application/javascript	etag:%22f188579e2818d41:0%22	http://emeraldgroupjpr.co.in/js/jquery-countTo.js	D:/download/theme2/emeraldgroupjpr.co.in/js/jquery-countTo.js	(from http://emeraldgroupjpr.co.in/)
17:28:05	3188/3188	---M-Z	200	added ('OK')	application/javascript	etag:%2228a1ffa22818d41:0%22	http://emeraldgroupjpr.co.in/js/jquery.appear.js	D:/download/theme2/emeraldgroupjpr.co.in/js/jquery.appear.js	(from http://emeraldgroupjpr.co.in/)
17:28:07	41095/41095	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494d-a087%22	http://cdnjs.cloudflare.com/ajax/libs/jquery.form/3.32/jquery.form.js	D:/download/theme2/cdnjs.cloudflare.com/ajax/libs/jquery.form/3.32/jquery.form.js	(from http://emeraldgroupjpr.co.in/)
17:28:08	21068/21068	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494d-524c%22	http://cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.11.1/jquery.validate.min.js	D:/download/theme2/cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.11.1/jquery.validate.min.js	(from http://emeraldgroupjpr.co.in/)
17:28:09	5555/5555	---M-Z	200	added ('OK')	application/javascript	etag:%22751172a32818d41:0%22	http://emeraldgroupjpr.co.in/js/jquery.easing.min.js	D:/download/theme2/emeraldgroupjpr.co.in/js/jquery.easing.min.js	(from http://emeraldgroupjpr.co.in/)
17:28:10	4776/4776	---M-Z	200	added ('OK')	application/javascript	etag:%2249ec97a62818d41:0%22	http://emeraldgroupjpr.co.in/js/wow.min.js	D:/download/theme2/emeraldgroupjpr.co.in/js/wow.min.js	(from http://emeraldgroupjpr.co.in/)
17:28:10	4101/4101	---M-Z	200	added ('OK')	application/javascript	etag:%223aaed79c2818d41:0%22	http://emeraldgroupjpr.co.in/js/custom.js	D:/download/theme2/emeraldgroupjpr.co.in/js/custom.js	(from http://emeraldgroupjpr.co.in/)
17:28:21	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22848ce713c18d41:0%22	http://emeraldgroupjpr.co.in/fonts/fontawesome-webfont.eot?v=4.2.0	D:/download/theme2/emeraldgroupjpr.co.in/fonts/fontawesome-webfont78ce.eot	(from http://emeraldgroupjpr.co.in/css/font-awesome.min.css)
17:28:22	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22848ce713c18d41:0%22	http://emeraldgroupjpr.co.in/fonts/fontawesome-webfont.eot?	D:/download/theme2/emeraldgroupjpr.co.in/fonts/fontawesome-webfontd41d.eot	(from http://emeraldgroupjpr.co.in/css/font-awesome.min.css)
17:28:27	65452/65452	---M--	200	added ('OK')	font/x-woff	etag:%224e87e86d3c18d41:0%22	http://emeraldgroupjpr.co.in/fonts/fontawesome-webfont.woff?v=4.2.0	D:/download/theme2/emeraldgroupjpr.co.in/fonts/fontawesome-webfont78ce.woff	(from http://emeraldgroupjpr.co.in/css/font-awesome.min.css)
17:28:28	287007/287007	---M--	200	added ('OK')	image/svg+xml	etag:%2225e98c713c18d41:0%22	http://emeraldgroupjpr.co.in/fonts/fontawesome-webfont.svg?v=4.2.0	D:/download/theme2/emeraldgroupjpr.co.in/fonts/fontawesome-webfont78ce.svg	(from http://emeraldgroupjpr.co.in/css/font-awesome.min.css)
17:28:29	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:58:48%20GMT	http://emeraldgroupjpr.co.in/fonts/glyphicons-halflings-regular.eot	D:/download/theme2/emeraldgroupjpr.co.in/fonts/glyphicons-halflings-regular.37.delayed	(from http://emeraldgroupjpr.co.in/css/bootstrap.min.css)
17:28:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:58:49%20GMT	http://emeraldgroupjpr.co.in/fonts/glyphicons-halflings-regular.eot?	D:/download/theme2/emeraldgroupjpr.co.in/fonts/glyphicons-halflings-regular.38d41d.delayed	(from http://emeraldgroupjpr.co.in/css/bootstrap.min.css)
17:28:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:58:49%20GMT	http://emeraldgroupjpr.co.in/fonts/glyphicons-halflings-regular.woff	D:/download/theme2/emeraldgroupjpr.co.in/fonts/glyphicons-halflings-regular.39.delayed	(from http://emeraldgroupjpr.co.in/css/bootstrap.min.css)
17:28:32	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:58:51%20GMT	http://emeraldgroupjpr.co.in/fonts/glyphicons-halflings-regular.ttf	D:/download/theme2/emeraldgroupjpr.co.in/fonts/glyphicons-halflings-regular.3a.delayed	(from http://emeraldgroupjpr.co.in/css/bootstrap.min.css)
17:28:33	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:58:51%20GMT	http://emeraldgroupjpr.co.in/fonts/glyphicons-halflings-regular.svg	D:/download/theme2/emeraldgroupjpr.co.in/fonts/glyphicons-halflings-regular.3b.delayed	(from http://emeraldgroupjpr.co.in/css/bootstrap.min.css)
17:28:35	1362/1362	---M--	200	added ('OK')	image/png	etag:%226f5dad2f9417d41:0%22	http://emeraldgroupjpr.co.in/css/fancybox_sprite.png	D:/download/theme2/emeraldgroupjpr.co.in/css/fancybox_sprite.png	(from http://emeraldgroupjpr.co.in/css/jquery.fancybox.css)
17:28:36	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:58:55%20GMT	http://emeraldgroupjpr.co.in/css/blank.gif	D:/download/theme2/emeraldgroupjpr.co.in/css/blank.3e.delayed	(from http://emeraldgroupjpr.co.in/css/jquery.fancybox.css)
17:28:37	112160/112160	---M--	200	added ('OK')	application/octet-stream	etag:%2250b1576f3c18d41:0%22	http://emeraldgroupjpr.co.in/fonts/fontawesome-webfont.ttf?v=4.2.0	D:/download/theme2/emeraldgroupjpr.co.in/fonts/fontawesome-webfont78ce.ttf	(from http://emeraldgroupjpr.co.in/css/font-awesome.min.css)
17:28:37	6567/6567	---M--	200	added ('OK')	image/gif	etag:%2241a9ee2e9417d41:0%22	http://emeraldgroupjpr.co.in/css/fancybox_loading.gif	D:/download/theme2/emeraldgroupjpr.co.in/css/fancybox_loading.gif	(from http://emeraldgroupjpr.co.in/css/jquery.fancybox.css)
17:28:38	1003/1003	---M--	200	added ('OK')	image/png	etag:%22ce12612f9417d41:0%22	http://emeraldgroupjpr.co.in/css/fancybox_overlay.png	D:/download/theme2/emeraldgroupjpr.co.in/css/fancybox_overlay.png	(from http://emeraldgroupjpr.co.in/css/jquery.fancybox.css)
17:28:38	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:58:58%20GMT	http://emeraldgroupjpr.co.in/css/fancybox_sprite@2x.png	D:/download/theme2/emeraldgroupjpr.co.in/css/fancybox_sprite@2x.40.delayed	(from http://emeraldgroupjpr.co.in/css/jquery.fancybox.css)
17:28:39	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:58:58%20GMT	http://emeraldgroupjpr.co.in/css/fancybox_loading@2x.gif	D:/download/theme2/emeraldgroupjpr.co.in/css/fancybox_loading@2x.41.delayed	(from http://emeraldgroupjpr.co.in/css/jquery.fancybox.css)
17:28:44	33911/33911	---M--	200	added ('OK')	image/jpeg	etag:%223689ff52f3d7d31:0%22	http://emeraldgroupjpr.co.in/img/22.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/22.jpg	(from http://emeraldgroupjpr.co.in/css/main.css)
17:28:46	1318/1318	---M--	200	added ('OK')	image/png	etag:%2265ba7f59f3d7d31:0%22	http://emeraldgroupjpr.co.in/img/envelop.png	D:/download/theme2/emeraldgroupjpr.co.in/img/envelop.png	(from http://emeraldgroupjpr.co.in/css/main.css)
17:28:46	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:59:06%20GMT	http://emeraldgroupjpr.co.in/POST	D:/download/theme2/emeraldgroupjpr.co.in/POST.46.delayed	(from http://emeraldgroupjpr.co.in/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZDGWnHnxOblsWrQEEeMb3FMPZjdSdY6v8UEboa_uS3Ji5srSKTZb4QBjEfup5epBKg2&t=636681801604795562)
17:28:48	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:59:07%20GMT	http://emeraldgroupjpr.co.in/Firefox/	D:/download/theme2/emeraldgroupjpr.co.in/Firefox/index.html	(from http://emeraldgroupjpr.co.in/ScriptResource.axd?d=D9drwtSJ4hBA6O8UhT6CQrcwjfZlnZBbaDKvuTkrSz2-H9BpIxww4YQVaS8rwsLcyK1c0JshYgwlBAFbbdALDqEnR9F2QxBiHnAKfDu5Y3K8LUW3Z6BzigiVmBnH0S4Q_2pAZpgWnUR9k2oZCr22YRwkpLG4g1-0n0g0kwdHsRo1&t=545ba255)
17:28:48	49882/49882	---M--	200	added ('OK')	image/jpeg	etag:%228effba54f3d7d31:0%22	http://emeraldgroupjpr.co.in/img/555.jpg	D:/download/theme2/emeraldgroupjpr.co.in/img/555.jpg	(from http://emeraldgroupjpr.co.in/css/main.css)
17:28:49	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:59:09%20GMT	http://emeraldgroupjpr.co.in/AppleWebKit/	D:/download/theme2/emeraldgroupjpr.co.in/AppleWebKit/index.html	(from http://emeraldgroupjpr.co.in/ScriptResource.axd?d=D9drwtSJ4hBA6O8UhT6CQrcwjfZlnZBbaDKvuTkrSz2-H9BpIxww4YQVaS8rwsLcyK1c0JshYgwlBAFbbdALDqEnR9F2QxBiHnAKfDu5Y3K8LUW3Z6BzigiVmBnH0S4Q_2pAZpgWnUR9k2oZCr22YRwkpLG4g1-0n0g0kwdHsRo1&t=545ba255)
17:28:49	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:59:09%20GMT	http://emeraldgroupjpr.co.in/Opera/	D:/download/theme2/emeraldgroupjpr.co.in/Opera/index.html	(from http://emeraldgroupjpr.co.in/ScriptResource.axd?d=D9drwtSJ4hBA6O8UhT6CQrcwjfZlnZBbaDKvuTkrSz2-H9BpIxww4YQVaS8rwsLcyK1c0JshYgwlBAFbbdALDqEnR9F2QxBiHnAKfDu5Y3K8LUW3Z6BzigiVmBnH0S4Q_2pAZpgWnUR9k2oZCr22YRwkpLG4g1-0n0g0kwdHsRo1&t=545ba255)
17:28:50	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:59:09%20GMT	http://emeraldgroupjpr.co.in/MicrosoftAjaxWebForms.js	D:/download/theme2/emeraldgroupjpr.co.in/MicrosoftAjaxWebForms.47.delayed	(from http://emeraldgroupjpr.co.in/ScriptResource.axd?d=JnUc-DEDOM5KzzVKtsL1tZkCU9OHEQOk90AVfg7yrc0fSk6hF23XWypgY7-jA6umvvMsRqf7SZDj4ylxUwFoGNPtjo7kUQcf_ghwJJt3-FwD-M_02_lXpzPWcyS8XO3p50w2yDRVjA-6X1NTIFmvc_c-Sey0yCNyM4TYEiMSl6E3RnpHS7K_ayw2R4SznAZm0&t=545ba255)
17:28:51	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:59:11%20GMT	http://emeraldgroupjpr.co.in/MicrosoftAjaxSerialization.js	D:/download/theme2/emeraldgroupjpr.co.in/MicrosoftAjaxSerialization.48.delayed	(from http://emeraldgroupjpr.co.in/ScriptResource.axd?d=JnUc-DEDOM5KzzVKtsL1tZkCU9OHEQOk90AVfg7yrc0fSk6hF23XWypgY7-jA6umvvMsRqf7SZDj4ylxUwFoGNPtjo7kUQcf_ghwJJt3-FwD-M_02_lXpzPWcyS8XO3p50w2yDRVjA-6X1NTIFmvc_c-Sey0yCNyM4TYEiMSl6E3RnpHS7K_ayw2R4SznAZm0&t=545ba255)
17:28:53	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:59:13%20GMT	http://emeraldgroupjpr.co.in/MicrosoftAjaxNetwork.js	D:/download/theme2/emeraldgroupjpr.co.in/MicrosoftAjaxNetwork.49.delayed	(from http://emeraldgroupjpr.co.in/ScriptResource.axd?d=JnUc-DEDOM5KzzVKtsL1tZkCU9OHEQOk90AVfg7yrc0fSk6hF23XWypgY7-jA6umvvMsRqf7SZDj4ylxUwFoGNPtjo7kUQcf_ghwJJt3-FwD-M_02_lXpzPWcyS8XO3p50w2yDRVjA-6X1NTIFmvc_c-Sey0yCNyM4TYEiMSl6E3RnpHS7K_ayw2R4SznAZm0&t=545ba255)
17:28:55	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2257d97c08-8c85%22	http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	D:/download/theme2/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from http://emeraldgroupjpr.co.in/RegistrationForm.aspx)
17:29:11	293430/293430	---M-Z	200	added ('OK')	application/javascript	etag:W/%22573f46fe-47a36%22	https://code.jquery.com/jquery-1.12.4.js	D:/download/theme2/code.jquery.com/jquery-1.12.4.js	(from http://emeraldgroupjpr.co.in/RegistrationForm.aspx)
17:29:13	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	D:/download/theme2/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://emeraldgroupjpr.co.in/RegistrationForm.aspx)
17:29:14	1180/1180	---M-Z	200	added ('OK')	text/css	etag:%22885240365318d41:0%22	http://emeraldgroupjpr.co.in/css/Print.css	D:/download/theme2/emeraldgroupjpr.co.in/css/Print.css	(from http://emeraldgroupjpr.co.in/PrintAdmitCard.aspx)
17:29:17	31344/31344	---MC-	200	added ('OK')	text/css	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css	D:/download/theme2/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css	(from http://emeraldgroupjpr.co.in/result.aspx)
17:29:21	520714/520714	---M-Z	200	added ('OK')	application/javascript	etag:W/%2257d97c08-7f20a%22	https://code.jquery.com/ui/1.12.1/jquery-ui.js	D:/download/theme2/code.jquery.com/ui/1.12.1/jquery-ui.js	(from http://emeraldgroupjpr.co.in/RegistrationForm.aspx)
